,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,5.461540603637696,0.08851607735744815,0.5115351676940918,0.06464444315396863,0.001,balanced,10,rbf,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8938709204612078,0.8939197772132109,0.8684165526675787,0.9011994332616767,0.9013221737020862,0.8917457714611521,0.012120843288482109,112
118,5.370122671127319,0.029384101037416583,0.46872897148132325,0.01299157249180328,0.1,balanced,10,rbf,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8938709204612078,0.8939197772132109,0.8684165526675787,0.9011994332616767,0.9013221737020862,0.8917457714611521,0.012120843288482109,112
257,1.8322233200073241,0.0567673715862647,0.03245425224304199,0.003737234895804624,1000,,0.01,sigmoid,"{'model__C': 1000, 'model__class_weight': None, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.8843194254445963,0.8927472151651358,0.8755496384600352,0.9054133281219464,0.8908296943231442,0.8897718603029716,0.009865372825560995,115
259,2.445524072647095,0.08725661139808708,0.10923562049865723,0.013755575059957958,1000,,0.1,rbf,"{'model__C': 1000, 'model__class_weight': None, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9078439515341019,0.8958374047293335,0.8829147938245067,0.885907269884698,0.8722464822901504,0.8889499804525581,0.012075654619897529,116
97,5.129001569747925,0.04175079112322064,0.442180871963501,0.013737917173571021,0.1,,10,rbf,"{'model__C': 0.1, 'model__class_weight': None, 'model__gamma': 10, 'model__kernel': 'rbf'}",0.889986808676959,0.8865179792847371,0.8653385772913816,0.9006131522376392,0.8983260553129551,0.8881565145607343,0.012532201857259177,117
139,5.290473604202271,0.05471320141986876,0.44208598136901855,0.008260930358193665,1,,10,rbf,"{'model__C': 1, 'model__class_weight': None, 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8898524526089505,0.886469122532734,0.8653996482313856,0.9004421536056283,0.8982654051431344,0.8880857564243666,0.012463547045929101,118
55,4.660749292373657,0.05936396111521934,0.41614208221435545,0.016519793602706705,0.01,,10,rbf,"{'model__C': 0.01, 'model__class_weight': None, 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8905364471369943,0.8859927692007035,0.8654240766073872,0.8994894469415673,0.8975497331392528,0.8877984946051811,0.012191280724541299,119
280,2.444233846664429,0.06469035313761744,0.1136209487915039,0.008371471296421037,1000,balanced,0.1,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.9095172952902091,0.8921609341410983,0.8822796560484658,0.879421536056283,0.8643862202814167,0.8855531283634945,0.014928458973787093,120
148,5.3076173782348635,0.04882505916105848,0.4696922779083252,0.016073521122294654,1,balanced,0.001,rbf,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.8688806918116083,0.8834400039085402,0.8571062145788546,0.897828317373461,0.9126031052886949,0.8839716665922317,0.019806760207686583,121
109,5.36335597038269,0.08912283958581219,0.4658046722412109,0.013940309011548266,0.1,balanced,0.01,rbf,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.8672439906195036,0.8818888020324409,0.8575581395348838,0.8966435411373851,0.9120208636584182,0.8830710673965264,0.019621958851356355,122
160,5.909488677978516,0.07933826633050181,0.46134119033813475,0.019041326286673908,1,balanced,10,rbf,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__gamma': 10, 'model__kernel': 'rbf'}",0.8830613640805159,0.8851622044166504,0.8570940003908539,0.8963504006253664,0.8884158175642892,0.8820167574155352,0.013255415165786086,123
