,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
325,0.48619556427001953,0.009324242869150545,0.004797792434692383,0.003917381223403318,1,0.1,8,30,0,1,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 1}",0.9312105773896167,0.9516073871409029,0.9330296071917139,0.9239911080711354,0.9261896619112762,0.933205668340929,0.009764907653553844,122
41,0.48939948081970214,0.025487398793649297,0.006392717361450195,0.003196370671877589,0.8,0.01,12,30,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.933048277535177,0.9404008696501857,0.933921242915771,0.9281622532734024,0.9304707348055501,0.9332006756360173,0.004128523054783808,123
139,1.3514364242553711,0.08537970913307519,0.009591197967529297,0.003201679331629255,0.8,0.1,10,100,0,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'reg_lambda': 0, 'subsample': 1}",0.9337578845220766,0.9487004103967168,0.9340067422317765,0.9177008012507327,0.9317959742036349,0.9331923625209877,0.009832811899816551,124
52,1.268265724182129,0.025583134709996774,0.009595680236816406,0.003188110344205776,0.8,0.01,12,100,2,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 2, 'subsample': 0.8}",0.9354803493449781,0.9398634453781514,0.9341472053937854,0.9267209790893102,0.9296951338675005,0.933181422614745,0.004577308564483038,125
144,0.8140552997589111,0.0059841078759527355,0.006399726867675782,0.0031998697685904575,0.8,0.1,12,30,0,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 12, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9324235807860263,0.9391122728161032,0.9408833300762165,0.9305745554035566,0.9228918311510651,0.9331771140465935,0.006445774479777937,126
314,0.8700361728668213,0.021695407749996974,0.011194801330566407,0.003919074849793274,1,0.05,12,50,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 0.8}",0.9329451722464822,0.9440162692984171,0.9355457299198751,0.9195268223568497,0.9337074946257573,0.9331482976894762,0.007870947078828454,127
278,0.6125444412231446,0.0345243223839305,0.014393901824951172,0.011753058389593306,1,0.05,8,50,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 8, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 0.8}",0.9270014556040757,0.9503615399648231,0.9302081297635333,0.9285592143834278,0.9293775649794801,0.9331015809390679,0.008694724413937765,128
167,0.35665168762207033,0.006397915021521726,0.0063995361328125,0.00319977091588788,0.8,0.2,8,30,2,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.2, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 2, 'subsample': 1}",0.9288937409024745,0.948468340824702,0.9384404924760602,0.9229040453390659,0.9267881571233144,0.9330989553331234,0.009232510186051463,129
218,0.2894784450531006,0.010608720835679819,0.0063974857330322266,0.003198742914052333,1,0.01,8,30,1,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 30, 'reg_lambda': 1, 'subsample': 0.8}",0.9300642891800095,0.946343072112566,0.9252003126832129,0.9330723568497166,0.930702804377565,0.9330765670406139,0.0071097696775955805,130
321,1.7432726860046386,0.10377189897295286,0.015992069244384767,0.007153193038032555,1,0.05,12,100,1,1,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 12, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 1}",0.9353590490053372,0.9402970490521789,0.9396863396521399,0.9168824506546804,0.9331151065077194,0.9330679989744113,0.008523904060084101,131
288,0.8092607021331787,0.0735336232271259,0.007998228073120117,1.7968600922981998e-06,1,0.05,10,30,0,0.8,"{'colsample_bytree': 1, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 30, 'reg_lambda': 0, 'subsample': 0.8}",0.9360140708393984,0.9425444596443229,0.935484658979871,0.9167114520226696,0.9345808090678132,0.9330670901108149,0.008650411669708011,132
123,1.0971428394317626,0.1521784417802025,0.011193799972534179,0.003914346552620881,0.8,0.1,8,100,1,1,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 1}",0.9304949053857351,0.944547586476451,0.9351304475278484,0.9198138557748682,0.9353380887238617,0.933064976777753,0.008043394900473786,133
