,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__degree,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1150,0.6603699207305909,0.03341106282687468,0.10271763801574707,0.011441071522044695,1000,balanced,5,0.001,sigmoid,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__degree': 5, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8836663024816606,0.8769626970501014,0.9011159669111909,0.8988528172311534,0.8984655171066716,0.8918126601561557,0.009667061409083211,179
679,0.5390233516693115,0.024573864576081645,0.09190740585327148,0.005056010981073549,10,,3,0.01,poly,"{'model__C': 10, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.918370532230373,0.8683705322303731,0.8905259872014983,0.9042375526767598,0.8743075685009102,0.8911624345679829,0.018521348112494573,182
179,0.5394258975982666,0.01754281254971414,0.09203090667724609,0.009972263142195154,0.01,,3,0.1,poly,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.9183393163727174,0.8683627282659591,0.890557203059154,0.9042375526767598,0.874284129352845,0.8911561859454871,0.018518161477499493,183
5,0.30120134353637695,0.02306931004625458,0.17509107589721679,0.017388104794145747,0.001,,3,0.01,rbf,"{'model__C': 0.001, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9022475417512097,0.8832683002965506,0.9053769314811924,0.9237552676759794,0.8400551601284465,0.8909406402666757,0.028499997146449015,184
33,0.29594106674194337,0.025564304799709725,0.17079291343688965,0.006660244774394518,0.001,,4,0.01,rbf,"{'model__C': 0.001, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9022475417512097,0.8832683002965506,0.9053769314811924,0.9237552676759794,0.8400551601284465,0.8909406402666757,0.028499997146449015,184
61,0.3240339756011963,0.018055518943642865,0.19995536804199218,0.018142981633704643,0.001,,5,0.01,rbf,"{'model__C': 0.001, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.9022475417512097,0.8832683002965506,0.9053769314811924,0.9237552676759794,0.8400551601284465,0.8909406402666757,0.028499997146449015,184
709,0.7964152812957763,0.005394171654286466,0.3939445972442627,0.0170755596525611,10,,4,0.1,rbf,"{'model__C': 10, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8950132667395037,0.8799672233494614,0.8934680817855472,0.8927032932729826,0.8736747115031525,0.8869653153301295,0.008550945278617666,187
737,0.7672429561614991,0.022282729316553212,0.37358798980712893,0.015366303916931024,10,,5,0.1,rbf,"{'model__C': 10, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8950132667395037,0.8799672233494614,0.8934680817855472,0.8927032932729826,0.8736747115031525,0.8869653153301295,0.008550945278617666,187
681,0.8239287853240966,0.020074673999303627,0.37143754959106445,0.01157693487236761,10,,3,0.1,rbf,"{'model__C': 10, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8950132667395037,0.8799672233494614,0.8934680817855472,0.8927032932729826,0.8736747115031525,0.8869653153301295,0.008550945278617666,187
763,0.9868601799011231,0.009427743933283186,0.1774721622467041,0.006624723260526648,10,balanced,3,0.01,poly,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.8971593569533323,0.8669267988137974,0.896894022163259,0.9043936319650382,0.865900727394895,0.8862549074580643,0.016425465211393788,190
263,0.8892018795013428,0.021926519661132373,0.16471052169799805,0.00303057410114518,0.01,balanced,3,0.1,poly,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8971593569533323,0.8669111908849696,0.896894022163259,0.9043936319650382,0.86590854044425,0.8862533484821699,0.01642720375848582,191
821,0.7984195709228515,0.013126581632452642,0.4017351150512695,0.013179369856959191,10,balanced,5,0.1,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8930154518495397,0.8689012018105197,0.8951615420633682,0.8876697362260028,0.8740497378721942,0.8837595339643249,0.010450049386096479,192
765,0.7626996040344238,0.01335608568785097,0.3697534084320068,0.0038874701838469633,10,balanced,3,0.1,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8930154518495397,0.8689012018105197,0.8951615420633682,0.8876697362260028,0.8740497378721942,0.8837595339643249,0.010450049386096479,192
793,0.8211562156677246,0.014595391530601368,0.38132219314575194,0.007893485079497244,10,balanced,4,0.1,rbf,"{'model__C': 10, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8930154518495397,0.8689012018105197,0.8951615420633682,0.8876697362260028,0.8740497378721942,0.8837595339643249,0.010450049386096479,192
870,0.40190110206604,0.02156718961308687,0.06627545356750489,0.004500072547032202,100,,4,0.001,sigmoid,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8760106133916029,0.8687061027001718,0.8800296550647729,0.8917668175433121,0.8827769140017658,0.8798580205403251,0.007609686679346851,195
898,0.6563642978668213,0.3377201315006798,0.15095233917236328,0.08125465153016984,100,,5,0.001,sigmoid,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8760106133916029,0.8687061027001718,0.8800296550647729,0.8917668175433121,0.8827769140017658,0.8798580205403251,0.007609686679346851,195
842,0.38196754455566406,0.010343393693768315,0.057700586318969724,0.002747519122970415,100,,3,0.001,sigmoid,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.8760106133916029,0.8687061027001718,0.8800296550647729,0.8917668175433121,0.8827769140017658,0.8798580205403251,0.007609686679346851,195
877,1.1887618064880372,0.06449645955112349,0.49839205741882325,0.04385305253867957,100,,4,0.1,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8861635710941158,0.8671375058529734,0.8885984079912597,0.8799282035273919,0.868752490409482,0.8781160357750444,0.008787843933711887,198
1045,0.8173857212066651,0.01894508671893897,0.41837353706359864,0.01476081029180496,1000,,4,0.1,rbf,"{'model__C': 1000, 'model__class_weight': None, 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8861635710941158,0.8671375058529734,0.8885984079912597,0.8799282035273919,0.868752490409482,0.8781160357750444,0.008787843933711887,198
905,1.017575979232788,0.058259749968869824,0.5936403751373291,0.0045493474618168595,100,,5,0.1,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8861635710941158,0.8671375058529734,0.8885984079912597,0.8799282035273919,0.868752490409482,0.8781160357750444,0.008787843933711887,198
849,0.8798108577728272,0.044432578251227796,0.4814596176147461,0.06232869047313465,100,,3,0.1,rbf,"{'model__C': 100, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8861635710941158,0.8671375058529734,0.8885984079912597,0.8799282035273919,0.868752490409482,0.8781160357750444,0.008787843933711887,198
1017,1.275407600402832,0.1355051463293403,0.5929195404052734,0.07661380214982366,1000,,3,0.1,rbf,"{'model__C': 1000, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8861635710941158,0.8671375058529734,0.8885984079912597,0.8799282035273919,0.868752490409482,0.8781160357750444,0.008787843933711887,198
1073,0.9263445854187011,0.05027876413658219,0.4322827816009521,0.021254480030827153,1000,,5,0.1,rbf,"{'model__C': 1000, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8861635710941158,0.8671375058529734,0.8885984079912597,0.8799282035273919,0.868752490409482,0.8781160357750444,0.008787843933711887,198
291,0.8540767669677735,0.0083285904328922,0.14876132011413573,0.006036158497998308,0.01,balanced,4,0.1,poly,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8701498361167472,0.8568050569689403,0.9019665990323085,0.8877555798345561,0.8646272003500247,0.8762608544605154,0.0163959051266374,204
959,0.963253116607666,0.03877520468073244,0.16729178428649902,0.005354619464774716,100,balanced,4,0.01,poly,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.8701420321523333,0.8568128609333541,0.9019587950678946,0.8877555798345561,0.8646193873006697,0.8762577310577615,0.01639329747434701,205
1129,0.8104061603546142,0.02090567490961736,0.4109016418457031,0.009186385640087943,1000,balanced,4,0.1,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8821757452786017,0.8655064772904635,0.8877711877633838,0.8745278601529578,0.868752490409482,0.8757467521789778,0.008260600809410941,206
933,0.871419620513916,0.08056349743330793,0.4159587860107422,0.00832088882166967,100,balanced,3,0.1,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8821757452786017,0.8655064772904635,0.8877711877633838,0.8745278601529578,0.868752490409482,0.8757467521789778,0.008260600809410941,206
1157,1.0727244853973388,0.1303824119800562,0.5571243762969971,0.041826405756871084,1000,balanced,5,0.1,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8821757452786017,0.8655064772904635,0.8877711877633838,0.8745278601529578,0.868752490409482,0.8757467521789778,0.008260600809410941,206
989,0.8275789260864258,0.013442363484426996,0.39731788635253906,0.013641027452171155,100,balanced,5,0.1,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8821757452786017,0.8655064772904635,0.8877711877633838,0.8745278601529578,0.868752490409482,0.8757467521789778,0.008260600809410941,206
961,0.8282745361328125,0.03570807616564574,0.39336442947387695,0.00969189850726584,100,balanced,4,0.1,rbf,"{'model__C': 100, 'model__class_weight': 'balanced', 'model__degree': 4, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8821757452786017,0.8655064772904635,0.8877711877633838,0.8745278601529578,0.868752490409482,0.8757467521789778,0.008260600809410941,206
1101,0.8738483428955078,0.026267116795711153,0.40938434600830076,0.01882790545600619,1000,balanced,3,0.1,rbf,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.8821757452786017,0.8655064772904635,0.8877711877633838,0.8745278601529578,0.868752490409482,0.8757467521789778,0.008260600809410941,206
515,0.5166233062744141,0.009928130048880247,0.06971249580383301,0.004963607408941051,1,,3,0.1,poly,"{'model__C': 1, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8866083970657094,0.8540346496019978,0.8912673638208208,0.8709068206648979,0.866619527935558,0.8738873518177968,0.01356262824551739,212
15,0.3647739887237549,0.00871069896297159,0.04936890602111817,0.004599911663614868,0.001,,3,1,poly,"{'model__C': 0.001, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8860309036990791,0.8532698610894335,0.8909864211019197,0.870797565163103,0.8677055417959074,0.8737580585698886,0.013510017909753199,213
1015,0.5623377799987793,0.008509013502051792,0.08986778259277343,0.020475841974023287,1000,,3,0.01,poly,"{'model__C': 1000, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.8861635710941159,0.8541907288902761,0.8917902294365536,0.8704307788356487,0.8657991577532794,0.8736748932019747,0.013684419082960086,214
599,0.5358984470367432,0.023201484100206164,0.06722745895385743,0.007782390101999498,1,balanced,3,0.1,poly,"{'model__C': 1, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8850866240049946,0.8438426720774154,0.8914624629311689,0.8865147494927423,0.8550171496433343,0.8723847316299311,0.01918977526639542,215
1099,0.6224467754364014,0.010305096435279534,0.08062925338745117,0.008675827971381162,1000,balanced,3,0.01,poly,"{'model__C': 1000, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.884852505072577,0.8444045575152177,0.8912829717496488,0.8860152957702513,0.8548608886562337,0.8722832437527857,0.018911926660885082,216
99,0.49327335357666013,0.01273164788453025,0.06526837348937989,0.007331561408020612,0.001,balanced,3,1,poly,"{'model__C': 0.001, 'model__class_weight': 'balanced', 'model__degree': 3, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8850085843608554,0.8440221632589355,0.8910722647104728,0.8858670204463869,0.8545561797313874,0.8721052425016076,0.019038170283264846,217
176,0.38752169609069825,0.03936370651027804,0.080482816696167,0.0035223745521247535,0.01,,3,0.1,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
244,0.43012752532958987,0.024932460945391255,0.0858962059020996,0.0072046146473995695,0.01,,5,100,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 100, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
240,0.4094970703125,0.026295338152745096,0.08448314666748047,0.003830798373385686,0.01,,5,10,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 10, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
172,0.40912723541259766,0.03034215573650392,0.09195480346679688,0.005983307655561638,0.01,,3,0.01,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 0.01, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
180,0.44031558036804197,0.05406658275694153,0.08270010948181153,0.0058688601474365994,0.01,,3,1,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
236,0.41117539405822756,0.021331320769666734,0.08755016326904297,0.01020144283230393,0.01,,5,1,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 1, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
184,0.46294465065002444,0.0529682095510653,0.10538973808288574,0.0177529473434385,0.01,,3,10,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 3, 'model__gamma': 10, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
232,0.39334354400634763,0.02086861736225146,0.08546204566955566,0.004083196602397727,0.01,,5,0.1,linear,"{'model__C': 0.01, 'model__class_weight': None, 'model__degree': 5, 'model__gamma': 0.1, 'model__kernel': 'linear'}",0.8485172467613548,0.8854846261901044,0.8646402372405183,0.8875838926174496,0.8688462470017423,0.871014449962234,0.014390193005872593,218
